2025-11-28 06:42:16,300 [canton-env-ec-46] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 06:42:16,301 [canton-env-ec-51] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=sandbox/domainId=local::122085d60efc - The sequencer subscription has been terminated by the server.
2025-11-28 06:42:16,301 [canton-env-ec-46] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=sandbox/domainId=local::122085d60efc - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 06:42:16,362 [canton-env-ec-103] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - DOM::local::122085d60efc... subscribes from counter=74
2025-11-28 06:42:16,369 [canton-env-ec-98] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - MED::local::122085d60efc... subscribes from counter=137
2025-11-28 06:42:16,373 [canton-env-ec-46] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - PAR::sandbox::1220a2ad1939... subscribes from counter=158
2025-11-28 07:02:40,433 [daml.index.db.threadpool.connection.indexer-8] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(000000000000000029)),2025-11-28T14:00:00Z)
2025-11-28 07:02:40,437 [daml.index.db.threadpool.connection.indexer-8] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(000000000000000029)),2025-11-28T14:00:00Z)
2025-11-28 07:41:36,367 [canton-env-ec-54] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - MED::local::122085d60efc... authenticated new token with expiry 2025-11-28T15:41:36.366750Z
2025-11-28 07:41:36,367 [canton-env-ec-111] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - DOM::local::122085d60efc... authenticated new token with expiry 2025-11-28T15:41:36.366758Z
2025-11-28 07:41:36,367 [canton-env-ec-51] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - PAR::sandbox::1220a2ad1939... authenticated new token with expiry 2025-11-28T15:41:36.367028Z
2025-11-28 07:41:56,339 [canton-env-ec-98] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=mediator - The sequencer subscription has been terminated by the server.
2025-11-28 07:41:56,341 [canton-env-ec-95] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 07:41:56,342 [canton-env-ec-98] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=topology-manager - The sequencer subscription has been terminated by the server.
2025-11-28 07:41:56,342 [canton-env-ec-47] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 07:41:56,343 [canton-env-ec-98] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=sandbox/domainId=local::122085d60efc - The sequencer subscription has been terminated by the server.
2025-11-28 07:41:56,343 [canton-env-ec-54] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=sandbox/domainId=local::122085d60efc - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 07:41:56,408 [canton-env-ec-46] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - MED::local::122085d60efc... subscribes from counter=137
2025-11-28 07:41:56,416 [canton-env-ec-103] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - PAR::sandbox::1220a2ad1939... subscribes from counter=158
2025-11-28 07:41:56,418 [canton-env-ec-106] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - DOM::local::122085d60efc... subscribes from counter=74
2025-11-28 08:02:40,380 [daml.index.db.threadpool.connection.indexer-1] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(000000000000000029)),2025-11-28T15:00:00Z)
2025-11-28 08:02:40,384 [daml.index.db.threadpool.connection.indexer-1] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(000000000000000029)),2025-11-28T15:00:00Z)
2025-11-28 08:41:16,401 [canton-env-ec-47] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - DOM::local::122085d60efc... authenticated new token with expiry 2025-11-28T16:41:16.401239Z
2025-11-28 08:41:16,401 [canton-env-ec-107] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - MED::local::122085d60efc... authenticated new token with expiry 2025-11-28T16:41:16.401239Z
2025-11-28 08:41:16,401 [canton-env-ec-95] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - PAR::sandbox::1220a2ad1939... authenticated new token with expiry 2025-11-28T16:41:16.401234Z
2025-11-28 08:41:36,381 [canton-env-ec-54] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=mediator - The sequencer subscription has been terminated by the server.
2025-11-28 08:41:36,382 [canton-env-ec-106] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 08:41:36,382 [canton-env-ec-50] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=topology-manager - The sequencer subscription has been terminated by the server.
2025-11-28 08:41:36,383 [canton-env-ec-107] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 08:41:36,383 [canton-env-ec-107] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=sandbox/domainId=local::122085d60efc - The sequencer subscription has been terminated by the server.
2025-11-28 08:41:36,383 [canton-env-ec-95] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=sandbox/domainId=local::122085d60efc - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 08:41:36,438 [canton-env-ec-111] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - MED::local::122085d60efc... subscribes from counter=137
2025-11-28 08:41:36,445 [canton-env-ec-106] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - DOM::local::122085d60efc... subscribes from counter=74
2025-11-28 08:41:36,447 [canton-env-ec-51] INFO  c.d.c.d.s.s.GrpcSequencerService:domain=local - PAR::sandbox::1220a2ad1939... subscribes from counter=158
2025-11-28 09:02:40,378 [daml.index.db.threadpool.connection.indexer-11] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering for LedgerMeteringEnd(Offset(Bytes(000000000000000029)),2025-11-28T16:00:00Z)
2025-11-28 09:02:40,382 [daml.index.db.threadpool.connection.indexer-11] INFO  c.d.c.p.i.MeteringAggregator:participant=sandbox - Aggregating transaction metering completed up to LedgerMeteringEnd(Offset(Bytes(000000000000000029)),2025-11-28T16:00:00Z)
2025-11-28 09:40:56,433 [canton-env-ec-54] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - MED::local::122085d60efc... authenticated new token with expiry 2025-11-28T17:40:56.433287Z
2025-11-28 09:40:56,433 [canton-env-ec-95] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - PAR::sandbox::1220a2ad1939... authenticated new token with expiry 2025-11-28T17:40:56.433287Z
2025-11-28 09:40:56,433 [canton-env-ec-47] INFO  c.d.c.d.s.a.MemberAuthenticationServiceOld:domain=local - DOM::local::122085d60efc... authenticated new token with expiry 2025-11-28T17:40:56.433280Z
2025-11-28 09:41:16,415 [canton-env-ec-47] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:participant=sandbox/domainId=local::122085d60efc - The sequencer subscription has been terminated by the server.
2025-11-28 09:41:16,416 [canton-env-ec-52] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=topology-manager - The sequencer subscription has been terminated by the server.
2025-11-28 09:41:16,417 [canton-env-ec-50] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=topology-manager - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 09:41:16,417 [canton-env-ec-95] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:participant=sandbox/domainId=local::122085d60efc - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
2025-11-28 09:41:16,417 [canton-env-ec-95] INFO  c.d.c.s.c.t.GrpcSequencerSubscription:domain=local/client=mediator - The sequencer subscription has been terminated by the server.
2025-11-28 09:41:16,418 [canton-env-ec-82] INFO  c.d.c.s.c.t.GrpcSubscriptionErrorRetryPolicy:domain=local/client=mediator - Trying to reconnect to give the sequencer the opportunity to become available again (after Connection terminated by the server.)
